season_start,state,dst_start_date,dst_finish_date
1916,TAS,1916-10-01,1917-03-25
1917,AUSTRALIA (EXCEPT TAS),1917-01-01,1917-03-25
1917,TAS,1917-10-28,1918-03-03
1918,TAS,1918-10-27,1919-03-02
1942,AUSTRALIA,1942-01-01,1942-03-29
1942,AUSTRALIA,1942-09-27,1943-03-28
1943,AUSTRALIA (EXCEPT WA),1943-10-03,1944-03-26
1967,TAS (EXCEPT KING ISLAND),1967-10-01,1968-03-31
1968,TAS (EXCEPT KING ISLAND),1968-10-27,1969-03-09
1969,TAS (EXCEPT KING ISLAND),1969-10-26,1970-03-08
1970,TAS (EXCEPT KING ISLAND),1970-10-25,1971-03-14
1971,VIC,1971-10-31,1972-02-27
1971, NSW,1971-10-31,1972-02-27
1971, ACT,1971-10-31,1972-02-27
1971, SA,1971-10-31,1972-02-27
1971, TAS,1971-10-31,1972-02-27
1971, QLD,1971-10-31,1972-02-27
1972,VIC,1972-10-29,1973-03-04
1972, NSW,1972-10-29,1973-03-04
1972, ACT,1972-10-29,1973-03-04
1972, SA,1972-10-29,1973-03-04
1972, TAS,1972-10-29,1973-03-04
1973,VIC,1973-10-28,1974-03-03
1973, NSW,1973-10-28,1974-03-03
1973, ACT,1973-10-28,1974-03-03
1973, SA,1973-10-28,1974-03-03
1973, TAS,1973-10-28,1974-03-03
1974,VIC,1974-10-27,1975-03-02
1974, NSW,1974-10-27,1975-03-02
1974, ACT,1974-10-27,1975-03-02
1974, SA,1974-10-27,1975-03-02
1974, TAS,1974-10-27,1975-03-02
1974, WA,1974-10-27,1975-03-02
1975,VIC,1975-10-26,1976-03-07
1975, NSW,1975-10-26,1976-03-07
1975, ACT,1975-10-26,1976-03-07
1975, SA,1975-10-26,1976-03-07
1975, TAS,1975-10-26,1976-03-07
1976,VIC,1976-10-31,1977-03-06
1976, NSW,1976-10-31,1977-03-06
1976, ACT,1976-10-31,1977-03-06
1976, SA,1976-10-31,1977-03-06
1976, TAS,1976-10-31,1977-03-06
1977,VIC,1977-10-30,1978-03-05
1977, NSW,1977-10-30,1978-03-05
1977, ACT,1977-10-30,1978-03-05
1977, SA,1977-10-30,1978-03-05
1977, TAS,1977-10-30,1978-03-05
1978,VIC,1978-10-29,1979-03-04
1978, NSW,1978-10-29,1979-03-04
1978, ACT,1978-10-29,1979-03-04
1978, SA,1978-10-29,1979-03-04
1978, TAS,1978-10-29,1979-03-04
1979,VIC,1979-10-28,1980-03-02
1979, NSW,1979-10-28,1980-03-02
1979, ACT,1979-10-28,1980-03-02
1979, SA,1979-10-28,1980-03-02
1979, TAS,1979-10-28,1980-03-02
1980,VIC,1980-10-26,1981-03-01
1980, NSW,1980-10-26,1981-03-01
1980, ACT,1980-10-26,1981-03-01
1980, SA,1980-10-26,1981-03-01
1980, TAS,1980-10-26,1981-03-01
1981,VIC,1981-10-25,1982-03-07
1981,TAS,1981-10-25,1982-03-28
1981,NSW,1981-10-25,1982-04-04
1981, ACT,1981-10-25,1982-03-07
1981, SA,1981-10-25,1982-03-07
1982,VIC,1982-10-31,1983-03-06
1982,TAS,1982-10-31,1983-03-27
1982, NSW,1982-10-31,1983-03-06
1982, ACT,1982-10-31,1983-03-06
1982, SA,1982-10-31,1983-03-06
1983,VIC,1983-10-30,1984-03-04
1983, NSW,1983-10-30,1984-03-04
1983, ACT,1983-10-30,1984-03-04
1983, SA,1983-10-30,1984-03-04
1983, TAS,1983-10-30,1984-03-04
1983, WA,1983-10-30,1984-03-04
1984,VIC,1984-10-28,1985-03-03
1984, NSW,1984-10-28,1985-03-03
1984, ACT,1984-10-28,1985-03-03
1984, SA,1984-10-28,1985-03-03
1984, TAS,1984-10-28,1985-03-03
1985,VIC,1985-10-27,1986-03-16
1985,TAS,1985-10-27,1986-03-02
1985, NSW,1985-10-27,1986-03-16
1985, ACT,1985-10-27,1986-03-16
1985, SA,1985-10-27,1986-03-16
1986,VIC,1986-10-19,1987-03-15
1986, NSW,1986-10-19,1987-03-15
1986, ACT,1986-10-19,1987-03-15
1986, SA,1986-10-19,1987-03-15
1986, TAS,1986-10-19,1987-03-15
1987,VIC,1987-10-25,1988-03-20
1987, NSW,1987-10-25,1988-03-20
1987, ACT,1987-10-25,1988-03-20
1987, SA,1987-10-25,1988-03-20
1987, TAS,1987-10-25,1988-03-20
1988,VIC,1988-10-30,1989-03-19
1988, NSW,1988-10-30,1989-03-19
1988, ACT,1988-10-30,1989-03-19
1988, SA,1988-10-30,1989-03-19
1988, TAS,1988-10-30,1989-03-19
1989,VIC,1989-10-29,1990-03-18
1989,NSW,1989-10-29,1990-03-04
1989, SA,1989-10-29,1990-03-18
1989, ACT,1989-10-29,1990-03-04
1989, TAS,1989-10-29,1990-03-18
1989, QLD,1989-10-29,1990-03-04
1990,TAS,1990-10-28,1991-03-31
1990,VIC,1990-10-28,1991-03-03
1990, SA,1990-10-28,1991-03-03
1990, NSW,1990-10-28,1991-03-03
1990, ACT,1990-10-28,1991-03-03
1990, QLD,1990-10-28,1991-03-03
1991,VIC,1991-10-27,1992-03-01
1991,SA,1991-10-27,1992-03-22
1991,TAS,1991-10-27,1992-03-29
1991, NSW,1991-10-27,1992-03-01
1991, ACT,1991-10-27,1992-03-01
1991, QLD,1991-10-27,1992-03-01
1991,WA,1991-11-17,1992-03-01
1992,TAS,1992-10-04,1993-03-28
1992,VIC,1992-10-25,1993-03-07
1992, ACT,1992-10-25,1993-03-07
1992, NSW,1992-10-25,1993-03-07
1992, SA,1992-10-25,1993-03-07
1993,TAS,1993-10-03,1994-03-27
1993,VIC,1993-10-31,1994-03-06
1993,SA,1993-10-31,1994-03-20
1993, ACT,1993-10-31,1994-03-06
1993, NSW,1993-10-31,1994-03-06
1994,TAS,1994-10-02,1995-03-26
1994,NSW,1994-10-30,1995-03-05
1994,VIC,1994-10-30,1995-03-26
1994, ACT,1994-10-30,1995-03-05
1994, SA,1994-10-30,1995-03-26
1995,TAS,1995-10-01,1996-03-31
1995,VIC,1995-10-29,1996-03-31
1995, ACT,1995-10-29,1996-03-31
1995, NSW,1995-10-29,1996-03-31
1995, SA,1995-10-29,1996-03-31
1996,TAS,1996-10-06,1997-03-30
1996,VIC,1996-10-27,1997-03-30
1996, ACT,1996-10-27,1997-03-30
1996, NSW,1996-10-27,1997-03-30
1996, SA,1996-10-27,1997-03-30
1997,TAS,1997-10-05,1998-03-29
1997,VIC,1997-10-26,1998-03-29
1997, ACT,1997-10-26,1998-03-29
1997, NSW,1997-10-26,1998-03-29
1997, SA,1997-10-26,1998-03-29
1998,TAS,1998-10-04,1999-03-28
1998,VIC,1998-10-25,1999-03-28
1998, ACT,1998-10-25,1999-03-28
1998, NSW,1998-10-25,1999-03-28
1998, SA,1998-10-25,1999-03-28
1999,TAS,1999-10-03,2000-03-26
1999,VIC,1999-10-31,2000-03-26
1999, ACT,1999-10-31,2000-03-26
1999, NSW,1999-10-31,2000-03-26
1999, SA,1999-10-31,2000-03-26
2e3,VIC,2000-08-27,2001-03-25
2e3, ACT,2000-08-27,2001-03-25
2e3, NSW,2000-08-27,2001-03-25
2e3, TAS,2000-08-27,2001-03-25
2e3,SA,2000-10-29,2001-03-25
2001,TAS,2001-10-07,2002-03-31
2001,VIC,2001-10-28,2002-03-31
2001, ACT,2001-10-28,2002-03-31
2001, NSW,2001-10-28,2002-03-31
2001, SA,2001-10-28,2002-03-31
2002,TAS,2002-10-06,2003-03-30
2002,VIC,2002-10-27,2003-03-30
2002, ACT,2002-10-27,2003-03-30
2002, NSW,2002-10-27,2003-03-30
2002, SA,2002-10-27,2003-03-30
2003,TAS,2003-10-05,2004-03-28
2003,VIC,2003-10-26,2004-03-28
2003, ACT,2003-10-26,2004-03-28
2003, NSW,2003-10-26,2004-03-28
2003, SA,2003-10-26,2004-03-28
2004,TAS,2004-10-03,2005-03-27
2004,VIC,2004-10-31,2005-03-27
2004, ACT,2004-10-31,2005-03-27
2004, NSW,2004-10-31,2005-03-27
2004, SA,2004-10-31,2005-03-27
2005,TAS,2005-10-02,2006-04-02
2005,VIC,2005-10-30,2006-04-02
2005, ACT,2005-10-30,2006-04-02
2005, NSW,2005-10-30,2006-04-02
2005, SA,2005-10-30,2006-04-02
2006,TAS,2006-10-01,2007-03-25
2006,VIC,2006-10-29,2007-03-25
2006, ACT,2006-10-29,2007-03-25
2006, NSW,2006-10-29,2007-03-25
2006, SA,2006-10-29,2007-03-25
2006,WA,2006-12-03,2007-03-25
2007,TAS,2007-10-07,2008-04-06
2007,VIC,2007-10-28,2008-04-06
2007,WA,2007-10-28,2008-03-30
2007, ACT,2007-10-28,2008-04-06
2007, NSW,2007-10-28,2008-04-06
2007, SA,2007-10-28,2008-04-06
2008,TAS,2008-10-05,2009-04-05
2008, VIC,2008-10-05,2009-04-05
2008, ACT,2008-10-05,2009-04-05
2008, NSW,2008-10-05,2009-04-05
2008, SA,2008-10-05,2009-04-05
2008,WA,2008-10-26,2009-03-29
2009,TAS,2009-10-04,2010-04-04
