date,holiday_name,information,more_information,jurisdiction
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2014-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2014-01-27,Australia Day,Always celebrated on 26 January,NA,ACT
2014-01-27,Australia Day,Always celebrated on 26 January,NA,NSW
2014-01-27,Australia Day,Always celebrated on 26 January,NA,NT
2014-01-27,Australia Day,Always celebrated on 26 January,NA,QLD
2014-01-27,Australia Day,Always celebrated on 26 January,NA,TAS
2014-01-27,Australia Day,Always celebrated on 26 January,NA,VIC
2014-01-27,Australia Day,Always celebrated on 26 January,NA,WA
2014-01-27,Australia Day,Always celebrated on 26 January,NA,SA
2014-03-03,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2014-03-10,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2014-03-10,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2014-03-10,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
2014-03-10,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,ACT
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NSW
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NT
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,QLD
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,TAS
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,VIC
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,WA
2014-04-18,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,SA
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,ACT
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NSW
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NT
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,QLD
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,TAS
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,VIC
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,WA
2014-04-19,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,SA
2014-04-20,Easter Sunday,Public Holiday as part of Easter.,NA,NSW
2014-04-20,Easter Sunday,Public Holiday as part of Easter.,NA,VIC
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,ACT
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,NSW
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,NT
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,QLD
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,TAS
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,VIC
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,WA
2014-04-21,Easter Monday,Public Holiday as part of Easter.,NA,SA
2014-04-22,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,http://worksafe.tas.gov.au/laws/public_holidays,TAS
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,ACT
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NSW
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NT
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,QLD
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,TAS
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,VIC
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,WA
2014-04-25,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,SA
2014-05-05,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2014-06-02,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,ACT
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,SA
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,TAS
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,VIC
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NSW
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,QLD
2014-06-09,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,NT
2014-08-04,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
2014-09-29,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,http://www.commerce.wa.gov.au/labourrelations/content/Employers/Pay_rates_leave_and_conditions/Regional_Dates_for_the_Queens.html,WA
2014-09-29,Family & Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
2014-10-06,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,ACT
2014-10-06,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,NSW
2014-10-06,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,QLD
2014-10-06,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",NA,SA
2014-11-04,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2014-12-24,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,ACT
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NSW
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,NT
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,QLD
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,TAS
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,VIC
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,WA
2014-12-25,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,NA,SA
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,ACT
2014-12-26,Proclamation Day,Occurs the day after Christmas Day.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NSW
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,NT
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,QLD
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,TAS
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,VIC
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,WA
2014-12-26,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,NA,SA
2014-12-31,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,ACT
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NSW
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,NT
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,QLD
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,TAS
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,VIC
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,WA
2015-01-01,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,NA,SA
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,ACT
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,NSW
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,NT
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,QLD
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,TAS
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,VIC
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,WA
2015-01-26,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,SA
2015-03-02,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
2015-03-09,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
2015-03-09,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of AustraliaŐs capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2015-03-09,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
2015-03-09,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
2015-03-09,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,ACT
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NSW
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,NT
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,QLD
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,TAS
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,VIC
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,WA
2015-04-03,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,NA,SA
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,ACT
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NSW
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,SA
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,NT
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,QLD
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,TAS
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,VIC
2015-04-04,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,NA,WA
2015-04-05,Easter Sunday,Public Holiday as part of Easter.,NA,ACT
2015-04-05,Easter Sunday,Public Holiday as part of Easter.,NA,NSW
