Date,Holiday Name,Information,More Information,Jurisdiction
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.cmtedd.act.gov.au/communication/holidays,act
20220103,New Year's Day (additional day),"As 1 January 2022 falls on a Saturday in 2022, the following Monday is observed as an additional public holiday.",https://www.cmtedd.act.gov.au/communication/holidays,act
20220126,Australia Day,Always celebrated on 26 January,https://www.cmtedd.act.gov.au/communication/holidays,act
20220314,Canberra Day,Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220415,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220416,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220417,Easter Sunday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220418,Easter Monday,Public Holiday as part of Easter.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220425,Anzac Day,Celebrated on the 25 April each year.,https://www.cmtedd.act.gov.au/communication/holidays,act
20220530,Reconciliation Day,Takes place on the first Monday on or after 27 May each year the anniversary of the 1967 referendum,https://www.cmtedd.act.gov.au/communication/holidays,act
20220613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.cmtedd.act.gov.au/communication/holidays,act
20221003,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.cmtedd.act.gov.au/communication/holidays,act
20221225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.cmtedd.act.gov.au/communication/holidays,act
20221226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.cmtedd.act.gov.au/communication/holidays,act
20221227,Christmas (additional day),"As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.",https://www.cmtedd.act.gov.au/communication/holidays,act
20220101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.industrialrelations.nsw.gov.au/public-holidays/public-holidays-in-nsw/#3,nsw
20220103,New Year's Day (additional day),New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.industrialrelations.nsw.gov.au/public-holidays/public-holidays-in-nsw/#3,nsw
20220126,Australia Day,Always celebrated on 26 January,https://www.industrialrelations.nsw.gov.au/public-holidays/public-holidays-in-nsw/#3,nsw
